Folder Path,traj.csv exists?,foodpatches_reviewed.mat exists?,traj.mat exists?,traj.mat empty?,Diagnosis of video,frames with zero worms,frames with one worm,frames with two or more worms,proportion of frames with multiple worms,final classification of the video
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221119T201720_SmallPatches_C1-CAM7,1,1,1,0,OK,6431,28106,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T102308_SmallPatches_C3-CAM4,1,1,1,0,OK,851,33844,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221123T210707_SmallPatches_C3-CAM3,1,1,1,0,OK,1397,33248,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221015T200706_SmallPatches_C6-CAM2,1,1,1,0,OK,655,33583,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221012T131923_SmallPatches_C6-CAM2,1,1,1,0,OK,2871,23690,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221120T191902_SmallPatches_C5-CAM6,1,1,1,0,OK,159,34465,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221016T201801_SmallPatches_C3-CAM4,0,0,1,0,WEIRD,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221121T204620_SmallPatches_C3-CAM2,1,1,1,0,OK,379,34185,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T105413_SmallPatches_C5-CAM6,1,1,1,0,OK,1427,33229,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221013T201332_SmallPatches_C2-CAM5,1,1,1,0,OK,5579,29093,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221015T200700_SmallPatches_C5-CAM5,1,0,1,0,WEIRD,1,1,357,0.9944289693593314,2+ worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221014T103141_SmallPatches_C6-CAM5,0,0,1,0,WEIRD,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T200335_SmallPatches_C6-CAM7,0,0,1,1,NO WORM,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221014T103134_SmallPatches_C5-CAM4,1,1,1,0,OK,5220,29397,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221110T110848_SmallPatches_C4-CAM3,1,1,1,0,OK,3104,31567,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T102308_SmallPatches_C3-CAM3,1,1,1,0,OK,4,34639,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221014T103141_SmallPatches_C6-CAM2,1,1,1,0,OK,744,33875,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221013T201332_SmallPatches_C2-CAM2,1,1,1,0,OK,3500,31168,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221015T200700_SmallPatches_C5-CAM2,1,1,1,0,OK,0,410,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM8,1,0,1,0,WEIRD,4195,30506,4,0.00011525716755510733,1 worm with errors
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T105413_SmallPatches_C5-CAM1,0,0,1,1,NO WORM,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221121T204620_SmallPatches_C3-CAM5,0,0,1,1,NO WORM,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221016T203158_SmallPatches_C4-CAM2 copy,1,0,1,0,WEIRD,49,7339,27071,0.7856002785919498,2+ worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T112832_SmallPatches_C3-CAM7,1,1,1,0,OK,2755,31670,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221016T201801_SmallPatches_C3-CAM3,1,1,1,0,OK,433,34164,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221012T131923_SmallPatches_C6-CAM5,1,1,1,0,OK,1580,24985,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221015T200706_SmallPatches_C6-CAM5,1,1,1,0,OK,2908,25530,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1,1,0,1,0,WEIRD,122,34518,1,2.8867526918968852e-05,1 worm with errors
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221118T103541_SmallPatches_C3-CAM4,1,1,1,0,OK,150,34352,0,0.0,1 worm clean
