Folder Path;traj.csv exists?;foodpatches_reviewed.csv exists?;traj.mat exists?;traj.mat empty?;Diagnosis of video;frames with zero worms;frames with one worm;frames with two or more worms;proportion of frames with multiple worms;final classification of the video
Documents/PTUT/Minipatches_light_20260116/20221120T191908_SmallPatches_C6-CAM2;1;1;0;0;WEIRD;11653;20703;120;0.0036950363345239563;1 worm with errors
Documents/PTUT/Minipatches_light_20260116/20221017T203157_SmallPatches_C4-CAM8;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221117T104032_SmallPatches_C1-CAM7;1;1;1;0;OK;5903;29247;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221119T113711_SmallPatches_C1-CAM5;1;1;1;0;OK;6871;28301;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221122T193937_SmallPatches_C4-CAM2;1;1;0;0;WEIRD;530;26785;7804;0.2222158945300265;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221116T194402_SmallPatches_C4-CAM6;1;1;1;0;OK;10359;21474;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T114833_SmallPatches_C2-CAM2;1;1;1;0;OK;1715;32120;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221121T121404_SmallPatches_C6-CAM5;1;1;1;0;OK;3635;31416;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM5;1;1;0;0;WEIRD;12559;20999;1561;0.04444887382898146;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221118T104750_SmallPatches_C6-CAM2;1;1;1;0;OK;3489;31507;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T201712_SmallPatches_C1-CAM1;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221125T143343_SmallPatches_C3-CAM4;1;1;1;0;OK;22226;12882;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T191156_SmallPatches_C1-CAM8;1;1;1;0;OK;657;34448;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T112823_SmallPatches_C2-CAM2;1;1;1;0;OK;23022;9195;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T102313_SmallPatches_C2-CAM7;1;1;1;0;OK;1710;31063;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T113946_SmallPatches_C4-CAM6;1;1;0;0;WEIRD;385;10653;24038;0.6853118941726537;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221012T203101_SmallPatches_C5-CAM7;1;1;1;0;OK;1400;33543;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221121T205844_SmallPatches_C5-CAM6;1;1;1;0;OK;20332;14716;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221121T120115_SmallPatches_C3-CAM1;1;1;1;0;OK;1729;33380;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T194401_SmallPatches_C4-CAM8;1;1;1;0;OK;2545;32455;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T200144_SmallPatches_C6-CAM4;1;1;1;0;OK;795;34216;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T143343_SmallPatches_C3-CAM3;1;1;1;0;OK;1162;33933;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221118T104750_SmallPatches_C6-CAM5;1;1;1;0;OK;5547;29491;0;0.0;1 worm clean
